Client Name,Feature or part of Bridge this feedback is related to,What is the problem the user is experiencing?,Why would fixing this problem be valuable to this client?,Notes
Fulcrum Management Solutions Ltd.,Courses,"This client launched Bridge this morning just sent in this message ""Thanks Tate [I'm including the BST as well!] for your help.  I just finished my [ATD E-Learning Instructional Design Certificate] course and was able to feature Bridge in our activities and the authoring tool you have embedded got a LOT of ooooohhh and ahhhhhs.  I posted the link to your site so I suspect some folks may reach out to you.  They are all L&D and instructional designers.  We talked about developing training on our computer and not having it work in the platform.  We just skip that frustration in Bridge.  

I am turning off for the day cause I'm overloaded with information for now.  Folks are already doing the compliance training and we are getting good feedback.""",N/A,Yay!
Vera Whole Health,Practice,The ability for those who have Admin status in Practice to also act as a learner on exercises they've created and on exercises others have created. For Practice to not delete learner submissions for a person when their access is upgraded to Admin.,They would be able to have Admins participate in exercises.,
Vera Whole Health,User Management,They'd like to be able to deactivate users but have them remain in the Insights reporting,They have furloughed some staff and would like to deactivate them so they don't need to receive new enrollments or become overdue while they're not an active employee. But they'd like to report on these users.,
Health Education England,Live Trainings,Would like to have the ability to custom name live training sessions,So that the user can easily identify which time of live training they would like to attend when there are several running in the same day. ,
Dustin AB,Courses,We have bridge creators all over the organization (and hopefully more will come) and I would like if Bridge automatically could send out a mail every ½ year if the course has not been edited - so we make sure that all courses are up to date. Is this something that you can develop ,They would like a way to easily be notified of courses not updated over an extended period of time. This would give them an easy way to keep track of what courses need updating every 6 months.,
MedData,Reporting,Managers want to be able to access completion data for a user with as little steps as possible. They would like to export a user's completion report from the user's profile. ,"Currently to view completion data for an individual learner you need to go into the Insights page, select the custom reports deep dive, view report by people, search the user, select the user, and then export the file. This unfortunately is too many steps to some folks and it prevents them from looking for the reports themselves and relying on others to do the work for them.",
Numerica Credit Union,Courses,"Would like to limit managers so they they CANNOT author, but CAN enroll ONLY their people. Right now, if you limit manager permissions, it removes authoring and enrolling. To then add enrolling back on in a custom role, it allows managers to enroll everyone at the company, not just their people (if I'm not mistaken). ",Better control over manager roles,
True Talent Advisory,Courses,"Want CE credits to be more visible. They are using CE credits to praise people and track how much training employees have completed. Every quarter, the admin will be asked to round up a report of who has finished the most CE credits and this is incredibly time consuming. They would prefer that CE credits were shown on the insight page and seen the way a certificate is seen on completed courses. The  easiest way to see CE credits is by export of the individual courses, which is a huge project to collect that information for each person on Bridge.","Easier for employees, managers, and admin to see how many CE credits any individual has at any given time. ",
CS Team,Engage,"If you add text to the top of a signature, it comes through on an Engage comment response. For example, I'm testing commenting in Engage so I ran a fake survey and added a comment to one of my responses. An admin wrote to me asking a followup question to that comment I left. When I responded to her question by replying to the email I got from Engage, the response came through to the admin with my name because on the top of my signature, I added ""Best, Lyndsey"" (so I didn't have to write my name every time I wrote an email). Since I set that a long time ago and consider it part of my signature, I never thought it would come through on the Engage survey, but it did! Inadvertently revealing who I am to the admin. I wish that instead of replying to the email, there was a way to put my comment into a box like how it appears to the admin in Engage so that there is absolutely no way I could be identified. In general, most people have signatures and even though signatures don't come though, I think people will worry that it does. ",Won't accidentally reveal myself in an engage survey,https://instructure.atlassian.net/browse/BRD-1561
Gaylor Electric,Courses,"Due to increases in videos loaded to the server, Gaylor is reporting that they're waiting 2-3 days for their videos to load to 1080p. Nikki informed me that this is because the video uploader is also used by Canvas so I suspect that's the issue, but Gaylor is looking for a solution to optimize their videos faster.",They would be able to push their content faster rather than waiting for a three days turnaround.,
Dextra Asia Co Ltd,Learning Library,"Customer would like to change the structure of the Learning Library. For example, they wanted to have ""Top 5 courses listed at the top"" then this could change from week to week depending on what courses are most important.",Improve the learning experience for the learners and help show what's the most important training(s) for the week for example.,
Supportive Living Solutions,Courses,"The customer would like an option to stop future enrollments. They have smart groups assigned for various groups, including new hires. They have some courses/programs that are relevant for specific months, but not others, so they would like to be able to have a button that just stops any future automatic enrollments to specific items.",They'll be able to have a more automated experience and reduce admin/author time when it comes to enrolling the right courses. ,
Orthofi,User Management,"Discussing the use of the User Profile picture:

We were not needing the avatar in the learner screen at the top.  For us, the picture is used more in insights and when we are looking at a learner in a course.  It is a great visual attached to the name when we have 5 different Johns and 6 Marks.  We are excited for the new Nav.  looks great and I love the improved functionality as an admin. 

Thank you so much for the lightning fast reply. From the beginning we have been impressed with not only Bridge, but the whole team behind it and you have deepened that even further.",N/A,Yay!
Heinneman,All Perform,Perform is very rigid and doesn't meet them where they are at with respect to their current process. ,"They will stop using Perform and just continue on with the LMS. They can't get it to work with their existing processes around performance appraisals. It requires too much work to change the process to fit what we (Bridge) have deemed as the process they should follow. 

An escalation document will soon follow.",
Bermuda Monetary Authority,Creation of Smart Groups,"The client would like to be able to have Bridge automatically create Smart Groups for Managers and for default factors from the CSV, without having to create duplicate factors",They currently have a manual CSV upload and this would help save time ,
Vera Whole Health,Goals,They would like the ability to assign Goals to Groups,They'd like to assign goals to employees whether or not they are their manager.,
Casper Sleep,Live Trainings,"To ensure learners attend their Live Training, Admin are inviting each registrant to a Google Calendar invite. However, when someone new registers for a Live Training, Admin are not notified and new registrants are not differentiated. Since we're adding people manually to calendar invites we have to go through the entire list and figure out who's new. This is a
massive issue when we have 100+ people signing up for sessions.",It would save significant Admin lift if Bridge put invite on ppl's calendars,
Bridge 4 Bridge,Skills Assessments,"Skills added in the Directory or Career show up in assessments, but don't have descriptors and there is no way for managers to add descriptors if they want to use that skill in a feedback assessment. They would have to have an account admin add descriptors in, which puts so much work on the shoulders of the admin. In B4B, we want managers to determine their own skills needed for their team to be successful, but the assessments will likely be confusing or bland since they can't add descriptors to skills themselves.",manager autonomy,https://instructure.atlassian.net/browse/BRD-1567
Catalyte,Skills Assessments,"They would like a CSV export or API endpoint for individual skill assessments. They do not find the current Skill Assessment CSV (from Insights) helpful because it only shows the average score a person received. Their use case involves only a Manager Assessment and a Self Assessment, and it's important to be able to see both scores/feedback separately.","Currently they use a ""Screen Scraper"" (whatever that is) to get the data they need from Bridge, but it would be much easier if there were Skill Assessment endpoints.",https://instructure.atlassian.net/browse/BRD-1568
MERS of Michigan,Reporting,"Their ""New Hire Onboarding"" Programs are comprised exclusively of Checkpoints. Completion reports only show courses. Managers can't see Program completion reports.",This would make manager more self-reliant and increase adoption.,
Bridge 4 Bridge,Skills Assessments,"Employees can't request non-anoymous feedback (i.e. named). Only managers can request ""named feedback"". As an employee, if I want to know who is giving me feedback, I have to provide my manager with a list of the people from whom I want feedback and have her request that feedback on my behalf.",Would improve the assessment experience for Employees and relieve Manager burden.,
Tesco Controls,Checkpoints,Completion date does come over when you export enrollments,It would match other csv exports from enrollment and helps them manage their reports.,
Tesco Controls,Courses,"Tesco employees take a number of courses and certification programs outside of Bridge that they want to be reflected within Bridge Reporting and on their Bridge timeline. They have the transcript tool, but there is no connection. ","Their employees have certifications (based on completion of courses/programs) that determine what contracts/projects they can work on. Right now, they use the Transcript Tool Add on to capture learning done outside of Bridge, but that Data does not connect to Bridge Reporting or the employee's Timeline/History. 

This created a lot of admin burden to try an reconcile data from both places. ",
Regency Management Services,1on1s - Performance Conversations,"Would like the option to add more questions to Wins and Plans, not just to the Other section.",Customize PCs a little more.,
Regency Management Services,1on1s - Performance Conversations,"Regency (RMS) really likes PCs and TR! They are entering into PCs in June and raise discussions in July. They were very flexible in adapting their PC into Bridge and TR does exactly what they need. At RMS, Managers can give input for raises, but the owners ultimately make the decision. Before Bridge, my admin had to manually put together a CSV from paper PCs to present to the owners. Now, that's largely automated and all digitized. ",n/a,
Regency Management Services,Talent Review,"They would like for comments to show on the CSV download. At Regency, the owners decide who gets raises based off of information managers put into TR. Admins want to enforce that managers include a summary of why the provided the TR ranking that they did in comments, but then those comments don't show in the CSV, so the owner, who needs to see that info most, doesn't see it. ",Better visibility into TR rankings,
C Space,Notifications,"CSpace had an outage and their SFTP stopped loading into Bridge. For a few weeks now they've been working with Support to get their imports to load without failing. Their complaint is that they weren't notified that their imports failed. They had the thought to go in and look and only then did they see how long their CSVs have been failing. Since they have auto CSV, there's no notification that gets sent to their head of IT that their import failed so they are disappointed in our partnership there. ",faster fix when CSV fails. ,
Gaylor Electric,Insights,"They want more visibility with CE credits. First, they can't assign CE credits to Live Trainings, which they need. Second, it's not easy to report on CE credits and learners can't inventory their own CE credits. They would like CE credits visible on the timeline, but I suggested that another option would be to make those credits operate like certificates where learners can see that information once the course is completed and they liked that idea too. Gaylor uses CE credits to assess if their employees did enough education to remain compliant in their jobs. ",Less manual process for auditing CE credits,
Heinemann,Goals,"Heinnemann has requested the ability for department goals and not just company, manager, team goals. For example, the HR team has a specific set of goals that each manager should be able to see and push down to their team as well as create team specific goals. 

They also would like the ability to be able to report of time spent on these goals. ex: At the beginning of the year it is said that 15% of your time should be spent on this goal and then at the end of the year being able to assess/review that.",To better fit their perform mgmt process. ,
Vivint,Mobile App,The Vivint sales team (largest user base for them - ~6000 people) needs the ability for managers to approve checkpoints within the mobile app.,The Vivint sales team is large and very little of them have access to laptops so most do their trainings through their phones. They have checkpoints tied to0 many things that also have compensations tied to them so they require manager approval. Fixing this issue would save them time and increase their adoption among a team who struggles to use Bridge.,
Persado Inc.,Courses,"""When it comes to SCORM and Bridge developed content, manually adjusting the due date to 7 days isn't as much of an 'issue' as we adjust the due date based on the 'work order' submitted by our client and it's done on a 1:1 basis before we launch. However, with LiL there are literally thousands of courses that get pulled in through the API and we can't possibly monitor and change all of them. However, based on your suggestion we will export every single LiL course to a spreadsheet and send it back to you so that we can have that due date changed to 30 days. Admittedly, it would be a terrific update to the platform if the 'auto due date' could be adjusted. In truth, 7 days is quite aggressive even for the most compliant organizations.

The only workaround I can see here is if we can limit the amount of content that LiL imports to Bridge to just a small number of courses. We have not been able to identify a way to do this but if you have a suggestion, it would be worth looking in to. """,Ability for learners to have more time to complete LiL courses. ,
Persado Inc.,Learning Library,"""Hey there Bridge team,

I would like to make a recommendation that is pretty important to our learners (and I assume others) in finding content. The 'Tags' function seems to be an OR function rather than an AND function. This causes a tremendous amount of frustration to learners that want to sort content by, say, Time Management skills AND Remote Working content. They should be able to see all content related to all tags highlights. Right now, it will show nothing if courses don't have both of those tags.""",Better sorting experience for learners.,
Vera Whole Health,Navigation,The navigation does indeed seem quicker and more efficient to use! Many also seem excited about how sections are more easily laid out. I definitely saw surprise on at least one of my team member’s faces at how much existed in the Career section that she had no idea about!,N/A,
Vera Whole Health,Navigation,The path to the Sign Out function is now More Tools – Settings – Sign Out. That wasn’t intuitive for me; it took me a while to find.,They ask users to sign out of Bridge fairly regularly to troubleshoot access issues they are having.,
Vera Whole Health,Navigation,"The way goals are laid out for managers is confusing for them both with the current navigation and with the updated navigation. There’s confusion around the fact that in the Me section, under Team Goals, both goals that managers have created for the teams that they manage and goals that their supervisors have created for the teams that they are part of are shown there. They also wonder why the company goals are not shown under the Company (Directory) section of Bridge.",Would help them adopt using Goals more widely.,https://instructure.atlassian.net/browse/BRD-1569
Teen Challenge USA,Courses,"I saw your response to Christa on the manager issue and this is a major concern for us and any enterprise level organization.  Is this a feature that is being prioritize for future updates?  The managers having access to assign to their learners any course published within the main or sub accounts causes major problems on three levels when you have multiple corporations under a larger enterprise library in bridge:

- Copyright infringement when being unable to limit access and use.
- Inability to monetize certifications because they are technically available to any 
  corporation with a manager to assign on the author screen.
- Inability to separate sub accounts allowing course materials to stay separate and avoid 
  confusion when courses are duplicated and tweaked to meet the needs of separate 
  corporations.  

I love that managers can see what courses are being worked on without editing them so they can ask permission for use, but if the course hasn't been made available in their main library or they didn't write it, they shouldn't be able to assign them.",They want the ability to somehow filter what content managers can share with their direct reports. This would be valuable to the customer because they have clients all in the root account where all the clients' content is available to all managers. They use subaccounts as well but they need certain clients in the root for their Shopify integration. ,
American Express,User Enrollment,"Currently, Amex uses Bridge to educate sales partners on American Express and encourage them to sell it. Users work with other organizations so our admin does not have their email addresses prior to enrollment.  At the time that AMEX was created, they made a landing page where users can enroll (https://www.americanexpress.com/en-us/business/optblue/agent/).  Lauren stated that if she had understood this limitation of Bridge they would not have signed their contract.

Amex purchased 10k, licenses expecting this program to take off.  They have seen just over 100 users enroll outside AMEX this year.  While we are working on their strategy (involving partners better, incentives for learners, growing audience/use of Bridge), this is reportedly a major roadblock for people signing up to take courses.  Our AMEX contact thinks users are not completing enrollment because of how long (and how many clicks) it takes.

Ideally, we could have a link where users could request an account or sign up on their own (example link here https://cl.ly/684d964bc228).

For Amex, they are “less concerned about people getting in that shouldn’t, and are more about accessibility”.  I have some ideas around how this could work from a security standpoint from other products/companies I’ve worked with- happy to discuss further.","Implementing this change could have major positive impact for all the organizations we work with.  If we remove roadblocks for learners to self-enroll, with the proper security gates, we are likely to grow users/momentum dramatically.  This could also open other use cases for us and help significantly with sales.",
Certco,Talent Review,"They would like to be able to change the date/title of the cycle. They want to test out TR with some beta testers adding in back-dated information and want to be able to change the date to a past date rather than the current date so that data stays accurate. They also know that once TR is used regularly, they'll always have managers that are super later on entering that info so if they need two cycles to get everyone's information in, they'd like to title each cycle appropriately. ",accurate data,
Brewer Science,Talent Review,"If a manager says that an employee is up for promotion, they ask Managers to elaborate in the comments (""Anything to add?"") field. These comments do not export with the CSV, which means that Admin have to refer back to the platform when reviewing the CSV.",It would allow them to more easily execute their action plan for high potential employees.,
MMS ,Courses,Customer wants e-signatures with an additional requirement of requiring a 2nd password prompt when completing training.,This allows them to be compliant with 21 CFR part 11(?),
HelloFresh UK Customer Care,Courses,struggling for find 'themes' or categories of courses in the course list when there are large quantity of courses.,Client: Folder/sub-folder structure for courses. IC: category and tag filtering on list,
AON,Practice,"AON runs into issues with Practice being a cohort based learning experience. They see a lot of potential in being able to have a 1 to 1 feedback experience. For example, I have a big presentation coming up and I just want to send a video to a group of people for immediate feedback.","They have a new grad program starting in the fall that they would love to  be able to have on Practice. Bu, It would allow them to expand their usage of Practice within the company. Right now, it would be too administratively heavy to set up and manage. ",
RentPath,Courses,Admin uploaded a csv to capture historical enrollments and it included some bad dates. They currently have no way to remove or update the bad inactive enrollments. ,This is a compliance course so it is critical that it has accurate data.,
American Express,Courses,"Recently, we did a product update that allows Admins to share a link to a course for fellow Admins to be able to access/edit easily. https://cl.ly/7cfe63ca38d7

Similarly, Amex would like the ability to share a link to a course or program for LEARNERS.  

If the learner already has a bridge account, they will be prompted to login, then directed to the course/program.
If the learner has not yet created a bridge account, they will (1) be prompted to login/signup. (2) Enter their name, company, and email.  (3) Be directed back to the course/program they were sent a link to.","This would help American Express get substantially more users.  Currently, our admin works with a contact at a company who then is in charge of sending users to their enrollment website to sign up.  Users rarely do this as it depends on them and a company admin to push the signup.  Amex purchased 10k licenses last year and has had about 100 enrollments.  This is also related to the last feedback form I submitted for amex (6/4/20)",I believe this funcitonality already exists
"Healthequity, Inc.",Navigation,"I want to give a huge shout out to everyone that made the new nav happen in Bridge today. That is killer and way easier to use!!! Well done…as always.

Joshua Pope 
Learning Consultant",N/A,
10X Genomics,Live Trainings,"If an employee is invited to (enrolled in) a Live Training but miss all the sessions within, the LT stays on their My Learning page until they report it to the Admin and the Admin un-enrolls them.",It would reduce Learner confusion and Admin burden.,
CS Team,Bulk Uploads ,"Now that we can upload historical Live Training attendance, changing the Bulk Upload Historical Enrollments option to include the word Bulk Upload Historical COURSE enrollments would help to avoid confusion. ",Adding one word would be less misleading - one client spend some time trying to upload live training attendees.  ,
Veolia (AUS),Courses,The Bulk uploader under Admin > Tools tool is not available at the sub account level on the menu (they currently have to remember a link to key into the URL to get thereI    The client would like to be able to access this tool in the sub with the ease they do at the root. ,If would keep their experience consistent from root to the sub. They have historical records they need to upload into Sub account just like in the root. ,https://instructure.atlassian.net/browse/BRD-1625
Bridge,Skills Assessments,"If a mistake is made while generating a skill assessment (added the wrong person, skill, etc.) there is no way to edit it or delete and start over. Today, while sending a skill assessment on behalf of a direct report, I experience a glitch where the ""send request"" button just wasn't working. I clicked it several times and nothing happened. Eventually I clicked cancel and went back to start over, and realized that the skill assessment had been duplicated 5 times. There is no way to edit or delete a skill assessment once it's been requested. Now the respondents could respond to any of the five, which means the feedback will likely not be consolidated.",The ability to edit or delete skill assessment after they've been requested would allow the skill assessment feedback to be more accurate and comprehensive. ,https://instructure.atlassian.net/browse/BRD-1570
Regency Management Services,1on1s - Performance Conversations,"Wished that PC edits worked like Author edits. When you author a course, it auto-saves, but you can choose to publish later. For PCs, if you don't publish, you lose all work when you navigate away from the page. RMS had to completely start their very in depth PC over because they forgot to publish changes...it seems simple enough, but it's an inconsistent experience across the platform. ",won't have to repeat work. ,
Gila River Health Care,Learn Surveys,"The admin wants to be able to send out a survey/form to their users as a part of an annual staff compliance attestation process (flagging if someone has any conflicts of interest). 

Ideally, this attestation form would be loaded and available to staff at the same time as they’re expected to take their compliance training modules. The attestation will serve the purposes for attesting to the GRHC Standards of Conduct, Policies and Procedures, and disclosing any Conflict of Interest (if applicable).

Screenshot of the form/survey within the thread on Slack!","This allows them to keep/track more compliance related activities within Bridge,",
Canada Homestay Network,Programs,"Currently, there is nothing to ensure Learners see feedback from peers, managers nor experts. They would like Bridge Learners to be aware/notified of the feedback they receive in Practice exercises. She finds it, “Shocking. Frustrating,"" that she had been sending feedback and it’s not going anywhere. This puts the onus on learner to go back and look at feedback, “especially if they’re doing poorly, that feedback should go to them whether they want to see it or not.”
",It would improve learning and lessen Admin lift,
Blue Tree Dental,Navigation,"Hello there,

I saw the new layout today and I really like it. Easy to navigate through. Thank you!

Amy Brown
Practice Relations & Recruitment
",N/A,
WGU,Courses,"Is there a way the 'Re-Enrollment' button can be moved to a different location? It is one of the top options currently, so I wonder if moving it to a less conspicuous location would lessen the curiosity or inclination to use it. And/or, can additional disclaimer be added to the confirmation pop-up to warn users that everyone enrolled in the course will be 'reset', and to check with the content author or administration before clicking. (Or something similar)","For many, it seems the re-enrollment option has been exposed to more users who are less educated of the consequences of the option and it has resulted in many support tickets. Support has had to tackle many. re-enrollments that were unintended to date. ",
Bluegrass Cellular,1on1s - Performance Conversations,They'd like a warning for users when they begin PCs when scheduling is off. ,It would minimize users from completing PCs outside of the reporting schedule so they don't need to waste time redoing their agenda later.,
Incredible Bank,Goals,"They'd like the ability to mark Goals that aren't completed. At the moment, the only options are to leave them open (overdue,) mark complete, or delete. ","They don't like to leave Goals open for reporting and cleaning-up purposes. They set Goals monthly so they have thousands of Goals in Bridge. They are marking ""missed"" goals as complete and adding a note that they weren't met as a workaround.",
Empire Today,Live Trainings,"Admins would like to be able to mark learners attended or absent from each part within a session. They would like to have one LT session for an onboarding program that spans 3 weeks, each part would be the in-person training portion, but they need to know who came to each part and what parts they missed. This would help lessen the enrollment load since they'd only enroll newbies in one LT, but then could track what they went to and what they missed really quickly.","This would help lessen the enrollment load since they'd only enroll newbies in one LT, but then could track what they went to and what they missed really quickly. ",https://instructure.atlassian.net/browse/BRD-1276
Paychex,Courses,"When spinning off Sub-Accounts, representing a customer, there is the need to bundle content sets (content bundles, think franchises or industries) more programmatically and efficiently.  ","Administrative overhead (scaling, automation), and time to value for client",
Paychex,User Profiles,"Admins want to be able to leverage Profile images in HRIS to push, via API, into user profiles en masse",pre-populated profiles for users across customer instances ; preconfigured for users upon login. time to value,
"Paychex, Altura",Courses,"Want to be able to set Course Relevance and the root, and have that logic push to legacy (retroactive) and new subaccount courses/groups. ","This would allow, as new courses are distributed and available to sub-accounts (customers), predetermined groups to be enrolled in or have available in their learning library based on those groupings.   Time savings for mass distribution, automation, customer time to value at scale",
Paychex,Admin Tools,Limitations in Branding: Include a color wheel selector instead of asking for hex codes,Lower the level of effort to customize branding of an instance. ,
Altura,User Management,Ability to set a learners manager from UI and avoid the need to use the CSV upload tool.,"EE customers remain ‘challenged’ and continue to break things using a CSV upload for trying to simply update a users manager (likewise for editing a job title).
Altura Learning would like there to be a process for these smaller customers to not use the CSV upload post the initial data load (which Altura assist with). This means fields like job title and manager need to be all editable from the UI.
",
Altura,Reporting,"Need to run standard reports on both active and terminated users. The only workaround is to restore the terminated users, so that they appear in the report, then terminate them again.
Suggestion has been to add data filters on the reports page.  One of the filter options could allow admins to filter the report data by user status (all users, active users, or terminated users).","Currently completion data of terminated users is hidden in the data dump; Admins of Sub-Accounts cannot report effectively on the record of their terminated user (high attrition in this industry). Altura regularly receive requests to provide historic completion reports on employees, including terminated employees.  This type of request is extremely common in regulated industries",
CooperSurgical,Learning Library,The client would like to make the choice of Grid in MyLearning page stick so that each time they return they don't have to chose Grid option again.   Can we make the grid choice stick for those who choose it? ,User experience would be a lot better with the grid view. ,https://instructure.atlassian.net/browse/BRD-1279
Harlem Children's Zone,Goals,The admin wants managers of managers to be able to view the goals the downstream manager set for their time. ,"Right now, you can either give the manager of managers access to Insights or the ability to masquerade. Both give the manager of manager more permissions than they really need and allow them to see insights or masquerade as any user since it cant be scoped to the domain. 

Goals and accountability to them are extremely important within their organization.",
AvidXChange,1on1s - Performance Conversations,"AvidX wants to use PCs for their mid-year reviews, which start July 6th. Unfortunately, they're looking at not using Bridge because our reporting is too limited. Only Admins can see detailed completion reporting on PCs and they want managers/people leaders to have more autonomy. Two suggestions would push them to use Bridge for this initiative: 1) Managers see a sunburst chart like they do for 1on1s, but for PCs. 2) The CSV export from PC reporting showed the names of who completed PCs, not just the number that need to be completed and the number that is completed per manager. 

I would hate to see them use a different software for this initiative, but they were very disappointed in the reporting visibility of PCs and that's what's holding them back from adopting this feature of Bridge.",They won't use Bridge PCs if this isnt improved,
AvidXchange,Live Trainings,"They wish that there was no ""download calendar invite"" on Bridge after registering for an LT, that instead it said ""you'll get an email confirmation where you can download the invite."" This is because when you download the invite from Bridge, it opens the computer's calendar VS when you open the invite from the email confirmation, it opens the learner's email calendar, which is the one that's actually used. Additionally, multi-part sessions do not download all sessions when you pull the calendar invite from Bridge, but the email confirmation does have calendar invitations for each part. 

My admin knows that most people are going to download the calendar invite right from Bridge since it's in their face as opposed to waiting for an email notification to download the invite there instead so she knows this is going to cause a lot of questions and confusion.",My admin knows that most people are going to download the calendar invite right from Bridge since it's in their face as opposed to waiting for an email notification to download the invite there instead so she knows this is going to cause a lot of questions and confusion.,
Bridge 4 Bridge,1on1s - Performance Conversations,"Would like the option to open a PC cycle more than 20 days in advance of the PC being due. Since the start of a cycle will dismiss any incomplete PCs, it means there needs to be a lot of communication at the beginning of a PC month not to start until 20 days before the PC is due, otherwise information will be wiped since it's unlikely a PC will be completed in that short time. Usually PCs are announced a month prior so people know it's coming and it's hard to communicate to then wait 10 days into the month the PC is due to start it so your information isn't dismissed.",Easier adoption of PCs with lower risk of info being wiped.,
Discovery Holiday Parks,1on1s - Performance Conversations,"Employees cannot access PC's that occured between them and a now-terminated manager (according to support? I cannot replicate). User's managers change frequently, and there is high turnover in this industry. This behavior makes it impossible for employees (let alone new managers) to have a record of performance through the years. If users cannot see all past PCs they will return to their paper PC process.",They would be able to easily track performance through the years/months.,
Cognex Corporation,Live Trainings,"The graph reporting for live trainings shows two things: one graph shows attendance and the other is registration. The registration graph shows out of the learners enrolled in the live training, how many people that have been registered. There is no graph that shows how many people have registered vs the amount of seats available. So if you have a capacity limit on your live trainings the only way to know if there is any availability you have to add up each session. They need this graph so they can either remove session if they are not filling up, or add more if they are filling quickly.","""I would like to see the graph directly in the UI.  For capacity planning and evidence of yearly goals this information in graphical form would be very helpful.

Number of seats offered (Capacity) vs. number filled (Student registered)  at any given time will also let us know if we need to open up another session because we have reached capacity.

Here is a screenshot of my PowerBI report that pulls data using the API from Bridge ( shared a pic of graphs created through API).  The senior leadership want to see it in a report like this but the scheduler, author and instructor want to see it directly in Bridge so that they know when we are hitting our goals for offering enough training sessions per class type and filling those seats accordingly.  There is also a use case where if a class is not at a reasonable capacity within a given time frame prior to the start date then it will be cancelled.""",
OnLogic,Learning Library,"LinkedIn Learning is too difficult to maneuver in Bridge because there are too many courses, the search options don't bring up expected courses, and the biggest issue is that there is no way to preview the course to see what it's about. 

For example, when OnLogic employees search Bridge for courses on ""leadership,"" LiL brings up courses that they don't feel apply to leadership. Further, the course display on Bridge doesn't give enough information about what the course curriculum is. Employees (especially managers) feel that they need to go to Linkedin to find courses so they can get more information and previews, then return to Bridge to assign it to their employees. Due to this, managers rarely assign learning in a 1on1 which is where they want to assign learning, but simply looking at LiL courses in the library isn't helpful to them.",Ability to assign LiL courses during a 1on1,
Precision Diagnostics,Admin Tools,"Admin would like to be able to turn on/off certain parts within Perform as different departments are coming to use them at different times.  

Extra bonus: if you are able to turn on/off for different groups at a time. Ie sales is ready to take of feedback within Perform but CS is still not ready.",More control over their rollout out as well as environment.,
AvidXchange,Engage,"They would like to collect historical data in an Engage survey, but be able to name each cycle so they know when each survey was sent. If you send the same survey multiple times (Example, Quarterly survey), then the title of the survey is always ""quarterly survey"" and there's no ability to label each cycle of the survey differently like ""quarter 1 or quarter 2"" AND collect historical data. If you want to rename the survey to make it easier to see when it was sent, you need to make a different survey and then historical data doesn't track. Ideally, it would look more like TR where you can look back on each cycle of the same event.",Better visibility into engage surveys,
G2,Skills Assessments,The feedback field for skill assessments is limited to ~500 characters. G2 would like it expanded to ~10000,G2 has started incorporating skill assessments to their 360 feedback which includes 1on1s and PCs. Their users are refusing to adopt skill assessments as they feel they cant provide meaningful feedback with only 500 characters.Fixing this would allow for one more feature to become sticky at one of our ideal customers,https://instructure.atlassian.net/browse/BRD-1707
Henry Schein,Reporting,"Planning on using the download all data feature to
capture usage metrics for our classes.  It seems to have all the info I
need, such as user lists and class view logs are for all time, is there a way to narrow it down?",The file sizes are getting larger every day and getting the data dump takes longer and longer. This is also impacting a couple 3rd party vendors that need the data.,
Discovery Holiday Parks,Reporting,"Getting a high-level view of the enrollment/completion status of all courses requires exporting multiple reports (e.g. Overdue Learners + Completed Learners) and compiling them offline. They would like an ""everything report"" that shows the enrollment/completion status of all Courses, and ideally, all content types.",This would save the admin hours each week stitching together the reports we have together to get them a full picture of their learning.,
Catalant,1on1s - Performance Conversations,Would like the option to disable the 1st notification but still be able to dismiss past conversations,"Because the 1st notification is limited to max 20 days before the PC cycle due date, customers that want to leave their cycle open for longer than 20 days need to communicate that the date in the notification is incorrect.",
Catalant ,1on1s - Performance Conversations,They'd like the ability to add more than 1 question to the Wins and Plan section.,They have two questions for each section and have added them both within the 1 text box. They need to tell their employees to make sure they answer both questions in the 1 box.,
Bridge 4 Bridge/ Instructure,Learning Library,"Would like the ability to mass re-enroll via CSV. For compliance courses where the whole company has to take it, it's too manual to one-by-one re-enroll learners that completed it too late the year prior and therefore re-enrolling them late this year. I wish I could either mass re-enroll or that auto re-enroll was set to enrollment, not completion.",keep up to date with compliance training,
True Talent Advisory,1on1s - Performance Conversations,"They keep their PCs open for two months, but the scheduler won't permit that kind of setup, so they have to result to manually checking and reminding people when PCs are actually due and to avoid the first ""due date."" If they could schedule the PC cycle to be open for 60 days, that would accomplish what they need.",less manual,
Vera Whole Health,Navigation,They'd like to suppress Talent Review item on the Insights menu for Managers that are not Reviewers and have never participated in a cycle.,They want to minimize confusion for their users.,
MMS ,User Management,Admin would like to be able to search a Learner and see (within the UI) all their group memberships,Admin want and need more visibility into the set up and can serve as a double check that Learners are in the right learning items,
Tulane University,User Management,"As an administrator I need to have the ability to assign a training(s) to all new hires. In other systems there is a way to set up a smart group that allows a training to automatically be assigned to all new hires starting at or past a specific hire date. For Example, all new hires assigned X if > 10/24/2019. Smartgroups only have Is and IS not logic which does not help.",It would be much easier to do onboarding experiences for new hires. ,
Tulane University,Notifications,"As a manager, I want to see the names of my direct reports that have compliance training requirements coming due (< 1 Week) and/or past due, so that my department can maintain training compliance with Tulane University and the federal government.",Keep managers accountable for their teams and in compliance. ,
